Search results:
    jquery.sidebar git://github.com/sideroad/jquery.sidebar.git
    jquery-inputevent git://github.com/dodo/jquery-inputevent.git
    jquery-fitmaps git://github.com/suderman/jquery.fitmaps.git
    jquery-slugify git://github.com/madflow/jquery-slugify.git
    jquery-meiomask git://github.com/fabiomcosta/jquery-meiomask
    jquery.iframe-transport git://github.com/cmlenz/jquery-iframe-transport.git
    jquery-ajaxmask git://github.com/kevbook/jquery-ajaxmask.git
    jquery.sparkline git://github.com/gwatts/jquery.sparkline.git
    atmosphere-jquery git://github.com/lytup/atmosphere-jquery.git
    jquery-appendix git://github.com/michaldudek/jQuery-Appendix.git
    jquery-raptorize-coffee git://github.com/mcoms/jquery-raptorize-coffee.git
    jquery-store git://github.com/medialize/jQuery-store.git
    jquery.tokko.js git://github.com/bebraw/jquery.tokko.js
    jquery.contenteditable git://github.com/makesites/jquery-contenteditable.git
    jquery.classList git://github.com/mzgol/jquery.classList.git
    jquery-skim git://github.com/vormplus/jQuery-Skim.git
    jquery.ut-sticker git://github.com/urturn/jquery.ut-sticker.git
    jquery.ezmodal.js git://github.com/MailOnline/jquery.ezmodal.js.git
    jquery-popupwindow git://github.com/mkdynamic/jquery-popupwindow.git
    jquery-validation-tooltips git://github.com/simshaun/jquery-validation-tooltips.git
    jquery-error git://github.com/MGDIS/mg.jquery.plugin.error.git
    jquery-placeholderText git://github.com/kitajchuk/jquery-placeholderText.git
    jquery.hurl git://github.com/makesites/jquery-hurl.git
    jquery-fittext.js git://github.com/davatron5000/FitText.js
    jquery.outbound-analytics git://github.com/gmurphey/jquery.outbound-analytics
    jquery-simple-datetimepicker git://github.com/mugifly/jquery-simple-datetimepicker.git
    jquery-textfill-try git://github.com/jquery-textfill/jquery-textfill.git
    jquery.loadHtml git://github.com/anasnakawa/jquery.loadHtml.git
    jquery.spriteAnimation git://github.com/gunderson/jquery.spriteAnimation.git
    jquery-combobox git://github.com/jslayer/jquery-combobox.git
    jquery.pub-sub-validate git://github.com/wixo/jquery.pub-sub-validate.git
    jquery-ui-touch-punch-improved git://github.com/Bantam/jquery-ui-touch-punch-improved.git
    jquery.combine git://github.com/seriema/jquery.combine.git
    jquery-esthetic git://github.com/johannestroeger/bower-jquery-esthetic.git
    jquery-interdependencies git://github.com/miohtama/jquery-interdependencies.git
    jquery-sheetrock git://github.com/chriszarate/sheetrock
    jquery-xmlrpc git://github.com/timheap/jquery-xmlrpc.git
    jquery.accordion git://github.com/matoilic/jquery.accordion.git
    jquery.nprogress git://github.com/pulilab/nprogress.git
    jquery.tipFiveThree git://github.com/gocom/jquery.tipfivethree.git
    jquery.simple-carousel git://github.com/marcosmlopes/simple-carousel.git
    jquery-treetable git://github.com/ludo/jquery-treetable.git
    jquery-loader-plugin git://github.com/mimiz/jquery-loader-plugin.git
    jquery-simple-accordion git://github.com/asotog88/jquery-simple-accordion.git
    jquery-loader git://github.com/monkeymonk/jquery.loader.js.git
    jquery-twzipcode git://github.com/appleboy/jquery-twzipcode.git
    jquery-bem git://github.com/hoho/jquery-bem.git
    jquery.foobar git://github.com/makesites/jquery-foobar.git
    jquery-databind git://github.com/heruan/jquery-databind.git
    jquery-snappish git://github.com/philippbosch/jquery-snappish.git
    jquery-reel git://github.com/pisi/Reel.git
    jquery.pwstrength git://github.com/matoilic/jquery.pwstrength.git
    jquery.periodical.ajax git://github.com/rscarvalho/periodicalAjax.git
    jqueryservice git://github.com/stephenway/jquery-service.git
    jquery.editable git://github.com/shokai/jQuery.editable.git
    jquery-lineup git://github.com/mach3/jquery-lineup
    jquery-ajax-goodies git://github.com/fantactuka/jquery-ajax-goodies.git
    jquery.fly git://github.com/matjaz/jquery.fly.git
    jquery-geolocation git://github.com/manuelbieh/jQuery-Geolocation.git
    jquery-instagram git://github.com/potomak/jquery-instagram.git
    jquery.ovoplayer git://github.com/appleboy/js-video-player
    jquery-styledform git://github.com/jaitsu87/jQuery-StyledForm
    jquery.checkalize git://github.com/unfold/jquery.checkalize
    jquery-touchslider git://github.com/lusever/TouchSlider.git
    jquery.jscroll git://github.com/pklauzinski/jscroll.git
    jquery-m git://github.com/meetup/jquery.git
    distrib-jquery-mobile git://github.com/henrytrager/distrib-jquery-mobile.git
    jquery-class git://github.com/iamdenny/jquery-class.git
    jquery-gholiday git://github.com/chris4403/gholiday.git
    sdi-jquery-ui git://github.com/sdicgdev/jquery-ui.git
    jquery.selectalize git://github.com/unfold/jquery.selectalize
    jquery-scroll-into-view git://github.com/Arwid/jQuery.scrollIntoView.git
    jquery.splitter git://github.com/jcubic/jquery.splitter.git
    jquery.backbone.hijax git://github.com/michael-lawrence/jquery.backbone.hijax.git
    jqueryp git://github.com/Ensighten/jqueryp.git
    jquery-prettyPhoto git://github.com/scaron/prettyphoto.git
    jquery.imageFallback git://github.com/michael-lawrence/jquery.imageFallback.git
    jquery.existence git://github.com/seriema/jquery.existence.git
    jquery-paginator git://github.com/dozoisch/paginator.git
    jquery.observe_field git://github.com/splendeo/jquery.observe_field.git
    jquery-tinyscroller git://github.com/Takazudo/jQuery.tinyscroller.git
    jquery-tokeninput git://github.com/loopj/jquery-tokeninput.git
    jquery.reverse git://github.com/michael-lawrence/jquery.reverse.git
    jquery.toolbar git://github.com/paulkinzett/toolbar.git
